step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,-0.0008,0.0123,6.919,13.691,0.0,60.19,2.0
1,0.0001,0.0124,1.196,6.639,0.0,60.19,2.0
2,0.0004,0.0124,0.0,6.648,0.0,60.2,2.0
3,0.0003,0.0124,0.704,5.961,0.603,60.19,2.0
4,0.0001,0.0124,1.001,5.522,1.086,60.18,2.0
5,0.0001,0.0124,1.324,5.57,1.166,60.17,2.0
6,0.0001,0.0124,1.651,5.678,1.14,60.17,2.0
7,0.0001,0.0124,1.951,5.95,1.01,60.16,2.0
8,0.0002,0.0124,2.274,6.298,0.853,60.15,2.0
9,0.0003,0.0124,2.587,6.617,0.748,60.15,2.0
10,0.0003,0.0124,2.893,6.847,0.715,60.14,2.0
11,0.0004,0.0124,3.187,7.048,0.706,60.13,2.0
12,0.0004,0.0124,3.474,7.183,0.718,60.12,2.0
13,0.0004,0.0124,3.754,7.291,0.729,60.11,2.0
14,0.0004,0.0124,4.021,7.355,0.739,60.1,2.0
15,0.0003,0.0124,4.29,7.4,0.763,60.08,2.0
16,0.0003,0.0124,4.541,7.448,0.766,60.07,2.0
17,0.0003,0.0124,4.773,7.442,0.765,60.05,2.0
18,0.0003,0.0124,4.99,7.403,0.769,60.03,2.0
19,0.0002,0.0124,5.197,7.347,0.785,60.02,2.0
20,0.0001,0.0124,5.422,6.99,0.879,59.99,2.0
21,0.0,0.0124,5.585,6.798,1.012,59.97,2.0
22,-0.0001,0.0124,5.777,6.51,1.189,59.95,2.0
23,-0.0001,0.0124,5.932,6.287,1.349,59.93,2.0
24,0.0014,0.0145,2.154,1.426,0.982,59.91,2.0
25,0.0027,0.0227,1.869,1.177,0.771,59.89,2.0
26,0.0042,0.0335,1.953,1.2,0.774,59.88,2.0
27,0.0057,0.0454,2.056,1.259,0.806,59.88,2.0
28,0.0072,0.0576,2.106,1.296,0.821,59.89,2.0
29,0.0087,0.0699,2.121,1.308,0.825,59.9,2.0
30,0.0101,0.0823,2.119,1.309,0.823,59.9,2.0
31,0.0115,0.0947,2.11,1.305,0.818,59.91,2.0
32,0.0132,0.1038,2.812,1.707,1.141,59.95,2.0
33,0.015,0.1073,2.597,1.743,0.846,60.01,2.0
34,0.0166,0.1085,2.282,1.586,0.698,60.03,2.0
35,0.0181,0.1089,2.127,1.483,0.659,60.05,2.0
36,0.0195,0.109,2.072,1.434,0.654,60.06,2.0
37,0.0208,0.109,2.05,1.409,0.655,60.06,2.0
38,0.0221,0.109,2.039,1.39,0.662,60.07,2.0
39,0.0233,0.1089,2.031,1.375,0.668,60.08,2.0
40,0.0245,0.1089,2.025,1.363,0.675,60.08,2.0
41,0.0257,0.1088,2.009,1.364,0.659,60.09,2.0
42,0.0268,0.1087,2.006,1.354,0.665,60.09,2.0
43,0.0278,0.1087,2.002,1.343,0.672,60.1,2.0
44,0.0289,0.1086,1.993,1.342,0.666,60.11,2.0
45,0.0299,0.1086,1.987,1.337,0.665,60.11,2.0
46,0.0308,0.1085,1.985,1.319,0.68,60.12,2.0
47,0.0317,0.1085,1.983,1.3,0.696,60.12,2.0
48,0.0326,0.1085,1.978,1.285,0.706,60.13,2.0
49,0.0334,0.1084,1.973,1.266,0.72,60.13,2.0
50,0.0341,0.1084,1.964,1.287,0.691,60.14,2.0
