step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0034,0.0124,10.68,10.57,2.369,60.35,2.0
1,0.0009,0.0124,3.321,4.21,0.0,60.35,2.0
2,0.0009,0.0124,2.81,4.232,0.0,60.37,2.0
3,0.0009,0.0124,0.0,4.386,0.0,60.38,2.0
4,0.0009,0.0124,2.032,4.368,0.0,60.39,2.0
5,0.001,0.0124,2.363,4.625,0.333,60.39,2.0
6,0.001,0.0124,2.701,4.955,0.411,60.4,2.0
7,0.0011,0.0124,2.97,5.234,0.467,60.4,2.0
8,0.0011,0.0124,3.22,5.485,0.472,60.41,2.0
9,0.0012,0.0124,3.492,5.779,0.553,60.42,2.0
10,0.0012,0.0124,3.749,6.063,0.596,60.43,2.0
11,0.0012,0.0124,3.984,6.342,0.63,60.44,2.0
12,0.0012,0.0124,4.219,6.621,0.662,60.45,2.0
13,0.0013,0.0124,4.445,6.902,0.687,60.46,2.0
14,0.0013,0.0124,4.65,7.193,0.697,60.47,2.0
15,0.0013,0.0124,4.861,7.456,0.715,60.47,2.0
16,0.0013,0.0124,5.053,7.72,0.717,60.48,2.0
17,0.0013,0.0124,5.115,7.695,0.0,60.49,2.0
18,0.0013,0.0124,5.441,8.224,0.763,60.5,2.0
19,0.0013,0.0123,5.608,8.452,0.755,60.5,2.0
20,0.0012,0.0123,5.714,8.625,0.712,60.5,2.0
21,0.0013,0.0123,5.892,8.71,0.69,60.5,2.0
22,0.0012,0.0123,5.995,8.74,0.639,60.49,2.0
23,0.0011,0.0123,6.119,8.481,0.54,60.47,2.0
24,0.0011,0.0144,2.171,1.675,0.631,60.5,2.0
25,0.0028,0.0224,1.802,1.3,0.575,60.49,2.0
26,0.0045,0.0332,1.903,1.301,0.604,60.49,2.0
27,0.0062,0.0451,2.017,1.366,0.641,60.49,2.0
28,0.0079,0.0573,2.082,1.391,0.682,60.49,2.0
29,0.0096,0.0696,2.091,1.421,0.662,60.5,2.0
30,0.0112,0.082,2.09,1.423,0.659,60.51,2.0
31,0.0128,0.0944,2.087,1.407,0.673,60.52,2.0
32,0.0147,0.1035,2.725,1.924,0.877,60.56,2.0
33,0.0168,0.107,2.409,1.814,0.587,60.6,2.0
34,0.0186,0.1082,2.166,1.642,0.517,60.62,2.0
35,0.0202,0.1087,2.077,1.547,0.532,60.63,2.0
36,0.0216,0.1088,2.044,1.483,0.561,60.64,2.0
37,0.023,0.1088,2.025,1.466,0.557,60.65,2.0
38,0.0244,0.1087,2.012,1.458,0.553,60.65,2.0
39,0.0256,0.1087,2.008,1.436,0.571,60.66,2.0
40,0.0268,0.1087,2.006,1.416,0.588,60.67,2.0
41,0.028,0.1086,2.001,1.405,0.595,60.67,2.0
42,0.0291,0.1086,1.997,1.39,0.606,60.68,2.0
