step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0001,0.0124,3.546,1.959,2.391,58.9,2.0
1,0.0002,0.0124,1.845,1.295,1.381,58.9,2.0
2,0.0003,0.0124,1.575,1.004,1.023,58.9,2.0
3,0.0002,0.0125,1.126,0.0,0.0,58.9,2.0
4,0.0002,0.0125,1.11,0.0,0.732,58.9,2.0
5,0.0002,0.0125,1.213,0.521,0.482,58.9,2.0
6,0.0002,0.0125,1.377,0.632,0.579,58.9,2.0
7,0.0002,0.0125,1.472,0.718,0.65,58.9,2.0
8,0.0002,0.0125,1.545,0.792,0.711,58.9,2.0
9,0.0002,0.0125,1.607,0.86,0.768,58.9,2.0
10,0.0002,0.0125,1.665,0.925,0.824,58.9,2.0
11,0.0002,0.0125,1.718,0.986,0.878,58.9,2.0
12,0.0002,0.0125,1.766,1.045,0.93,58.9,2.0
13,0.0002,0.0125,1.809,1.099,0.979,58.9,2.0
14,0.0002,0.0125,1.847,1.15,1.027,58.9,2.0
15,0.0002,0.0125,1.88,1.198,1.071,58.9,2.0
16,0.0002,0.0125,1.908,1.242,1.112,58.9,2.0
17,0.0002,0.0125,1.929,1.284,1.147,58.9,2.0
18,0.0002,0.0125,1.947,1.319,1.185,58.9,2.0
19,0.0002,0.0125,1.959,1.351,1.217,58.9,2.0
20,0.0002,0.0125,1.966,1.381,1.244,58.9,2.0
21,0.0002,0.0125,1.967,1.405,1.267,58.9,2.0
22,0.0002,0.0125,1.964,1.425,1.29,58.9,2.0
23,0.0002,0.0125,1.955,1.441,1.308,58.9,2.0
24,-0.0026,0.0154,0.0,0.16,0.0,58.9,2.0
25,-0.0066,0.024,1.32,0.806,0.59,58.9,2.0
26,-0.0062,0.0352,1.344,0.887,0.502,58.9,2.0
27,-0.0058,0.0472,1.442,0.969,0.514,58.9,2.0
28,-0.0053,0.0595,1.51,1.017,0.532,58.9,2.0
29,-0.0049,0.072,1.544,1.039,0.541,58.9,2.0
30,-0.0044,0.0844,1.56,1.053,0.544,58.9,2.0
31,-0.004,0.0969,1.562,1.049,0.549,58.9,2.0
32,-0.0031,0.1061,2.554,1.782,0.765,58.9,2.0
33,-0.0024,0.1097,2.306,1.529,0.784,58.9,2.0
34,-0.0019,0.111,1.942,1.247,0.71,58.9,2.0
35,-0.0016,0.1115,1.747,1.111,0.655,58.9,2.0
36,-0.0013,0.1116,1.66,1.055,0.625,58.9,2.0
37,-0.0011,0.1117,1.626,1.033,0.613,58.9,2.0
38,-0.0008,0.1117,1.613,1.025,0.608,58.9,2.0
39,-0.0006,0.1117,1.61,1.024,0.606,58.9,2.0
40,-0.0003,0.1117,1.606,1.021,0.605,58.9,2.0
41,-0.0001,0.1117,1.605,1.021,0.604,58.9,2.0
42,0.0001,0.1117,1.603,1.02,0.603,58.9,2.0
43,0.0003,0.1117,1.603,1.02,0.602,58.9,2.0
44,0.0006,0.1117,1.602,1.02,0.601,58.9,2.0
45,0.0008,0.1117,1.601,1.019,0.6,58.9,2.0
46,0.001,0.1117,1.6,1.019,0.6,58.9,2.0
47,0.0012,0.1117,1.6,1.019,0.599,58.9,2.0
48,0.0014,0.1117,1.599,1.019,0.598,58.9,2.0
49,0.0016,0.1117,1.598,1.018,0.597,58.9,2.0
50,0.0018,0.1117,1.597,1.018,0.597,58.9,2.0
51,0.002,0.1117,1.597,1.018,0.596,58.9,2.0
52,0.0022,0.1117,1.596,1.018,0.595,58.9,2.0
