step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0012,0.0124,9.212,6.908,2.941,43.27,2.0
1,0.0006,0.0124,3.402,3.588,1.403,43.3,2.0
2,0.0006,0.0124,3.134,3.475,1.291,43.3,2.0
3,0.0006,0.0124,3.259,3.668,1.323,43.3,2.0
4,0.0006,0.0124,3.49,3.97,1.387,43.3,2.0
5,0.0006,0.0124,3.763,4.333,1.455,43.3,2.0
6,0.0007,0.0124,4.054,4.738,1.518,43.31,2.0
7,0.0007,0.0124,4.35,5.174,1.574,43.31,2.0
8,0.0008,0.0124,4.654,5.632,1.626,43.31,2.0
9,0.0008,0.0124,4.943,6.107,1.669,43.32,2.0
10,0.0009,0.0124,5.223,6.591,1.705,43.33,2.0
11,0.0009,0.0124,5.497,7.078,1.739,43.33,2.0
12,0.001,0.0124,5.76,7.564,1.769,43.34,2.0
13,0.001,0.0124,6.009,8.045,1.797,43.34,2.0
14,0.0011,0.0124,6.243,8.515,1.823,43.35,2.0
15,0.0011,0.0123,6.461,8.972,1.847,43.36,2.0
16,0.0011,0.0123,6.663,9.413,1.871,43.37,2.0
17,0.0012,0.0123,6.851,9.817,1.903,43.37,2.0
18,0.0012,0.0123,7.02,10.19,1.942,43.38,2.0
19,0.0012,0.0123,7.17,10.535,1.983,43.38,2.0
20,0.0012,0.0123,7.3,10.858,2.022,43.39,2.0
21,0.0012,0.0123,7.413,11.162,2.054,43.4,2.0
22,0.0012,0.0123,7.509,11.449,2.078,43.4,2.0
23,0.0012,0.0123,7.577,11.727,2.092,43.4,2.0
24,0.002,0.0141,3.969,2.544,1.383,43.42,2.0
25,0.002,0.0218,3.507,2.38,1.127,43.43,2.0
26,0.0023,0.0325,3.194,2.274,0.942,43.45,2.0
27,0.0031,0.0442,3.008,2.187,0.849,43.47,2.0
28,0.004,0.0564,2.904,2.131,0.803,43.49,2.0
29,0.005,0.0687,2.847,2.093,0.784,43.51,2.0
30,0.0059,0.081,2.808,2.065,0.774,43.53,2.0
31,0.0069,0.0934,2.779,2.041,0.767,43.55,2.0
32,0.0099,0.1025,2.835,2.235,0.698,43.6,2.0
33,0.0107,0.1061,2.442,1.8,0.798,43.66,2.0
34,0.0113,0.1073,2.556,1.812,0.767,43.69,2.0
35,0.0122,0.1077,2.594,1.811,0.804,43.7,2.0
36,0.013,0.1078,2.622,1.815,0.827,43.72,2.0
37,0.0136,0.1077,2.627,1.812,0.835,43.74,2.0
38,0.0143,0.1077,2.62,1.803,0.836,43.75,2.0
39,0.0149,0.1076,2.608,1.792,0.835,43.77,2.0
40,0.0155,0.1075,2.593,1.779,0.832,43.78,2.0
41,0.0161,0.1074,2.578,1.767,0.829,43.8,2.0
42,0.0166,0.1073,2.564,1.755,0.826,43.81,2.0
43,0.0172,0.1072,2.549,1.743,0.823,43.82,2.0
44,0.0177,0.1072,2.536,1.73,0.821,43.84,2.0
45,0.0182,0.1071,2.522,1.719,0.819,43.85,2.0
46,0.0187,0.107,2.509,1.709,0.816,43.86,2.0
47,0.0192,0.1069,2.497,1.699,0.814,43.87,2.0
48,0.0197,0.1069,2.486,1.689,0.811,43.89,2.0
49,0.0201,0.1068,2.475,1.68,0.809,43.9,2.0
50,0.0206,0.1067,2.464,1.671,0.807,43.91,2.0
51,0.021,0.1067,2.454,1.663,0.805,43.92,2.0
52,0.0214,0.1066,2.444,1.654,0.803,43.93,2.0
53,0.0218,0.1066,2.434,1.647,0.801,43.94,2.0
54,0.0222,0.1065,2.425,1.639,0.799,43.95,2.0
55,0.0226,0.1064,2.416,1.632,0.798,43.96,2.0
56,0.0228,0.1064,2.436,1.564,0.89,43.98,2.0
57,0.0228,0.1063,2.436,1.634,0.813,44.0,2.0
58,0.0043,0.1054,1.255,1.252,0.0,42.86,2.0
59,-0.0783,0.103,6.876,6.838,0.0,41.82,2.0
60,-0.2263,0.0996,7.146,7.113,0.0,41.12,2.0
61,-0.4208,0.0961,5.995,5.943,0.0,40.76,2.0
62,-0.6135,0.0935,5.342,5.237,0.0,40.61,2.0
63,-0.7662,0.0909,0.28,0.21,0.0,40.4,2.0
64,-0.8691,0.0871,0.0,0.0,0.0,40.87,2.0
