step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,-0.0,0.0125,0.828,0.0,0.0,59.77,2.0
1,-0.0,0.0125,0.0,0.0,0.0,59.79,2.0
2,-0.0,0.0125,0.0,0.0,0.0,59.81,2.0
3,-0.0,0.0125,0.0,0.0,0.0,59.82,2.0
4,-0.0,0.0125,0.0,0.0,0.0,59.84,2.0
5,-0.0,0.0125,0.0,0.0,0.0,59.85,2.0
6,0.0,0.0125,0.0,0.089,0.0,59.87,2.0
7,0.0,0.0125,0.0,0.0,0.0,59.89,2.0
8,0.0,0.0125,0.0,0.0,0.0,59.9,2.0
9,-0.0,0.0125,0.324,0.313,0.0,59.92,2.0
10,-0.0,0.0125,0.376,0.355,0.0,59.94,2.0
11,-0.0,0.0125,0.406,0.383,0.0,59.96,2.0
12,-0.0,0.0125,0.435,0.411,0.0,59.97,2.0
13,0.0,0.0125,0.569,0.362,0.29,59.98,2.0
14,0.0,0.0125,0.588,0.385,0.316,59.98,2.0
15,0.0,0.0125,0.596,0.409,0.337,59.98,2.0
16,0.0,0.0125,0.611,0.434,0.358,59.98,2.0
17,0.0,0.0125,0.621,0.457,0.377,59.98,2.0
18,0.0,0.0125,0.63,0.477,0.394,59.98,2.0
19,0.0,0.0125,0.636,0.495,0.41,59.98,2.0
20,0.0,0.0125,0.64,0.511,0.425,59.98,2.0
21,0.0,0.0125,0.642,0.524,0.438,59.98,2.0
22,0.0,0.0125,0.641,0.535,0.449,59.99,2.0
23,0.0,0.0125,0.638,0.543,0.459,59.99,2.0
24,-0.0056,0.0153,0.0,0.156,0.0,60.03,2.0
25,-0.0115,0.0238,0.235,0.0,0.153,60.07,2.0
26,-0.0143,0.0348,0.642,0.294,0.367,60.09,2.0
27,-0.0144,0.0469,0.639,0.29,0.356,60.09,2.0
28,-0.0144,0.0592,0.665,0.306,0.365,60.09,2.0
29,-0.0145,0.0716,0.683,0.317,0.375,60.09,2.0
30,-0.0146,0.0841,0.693,0.322,0.379,60.09,2.0
31,-0.0147,0.0966,0.696,0.325,0.38,60.09,2.0
32,-0.0149,0.1058,1.399,0.605,0.815,60.11,2.0
33,-0.0153,0.1093,1.234,0.583,0.654,60.13,2.0
