t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
0.0,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.02,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.04,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.06,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.08,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.1,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.12,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.14,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.16,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.18,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.2,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.22,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.24,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.26,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.28,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.3,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.32,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.34,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.36,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.38,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.4,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.42,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.44,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.46,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.48,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.5,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.52,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.54,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.56,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.58,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.6,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.62,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.64,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.66,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.68,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.7,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.72,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.74,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
0.76,14.07,28.84,0.0,3.156,23.095,0.042,-0.287,35.865,0.0,0.0
