step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0013,0.0124,6.313,11.951,0.125,59.22,2.0
1,0.0007,0.0124,2.07,3.873,0.0,59.26,2.0
2,0.0002,0.0125,0.933,1.862,0.0,59.28,2.0
3,0.0002,0.0125,0.777,1.24,0.0,59.31,2.0
4,0.0002,0.0125,0.843,1.212,0.0,59.33,2.0
5,0.0003,0.0125,0.993,1.414,0.0,59.36,2.0
6,0.0003,0.0125,1.317,1.56,0.267,59.38,2.0
7,0.0003,0.0125,1.496,1.649,0.326,59.39,2.0
8,0.0004,0.0125,1.661,1.741,0.37,59.39,2.0
9,0.0004,0.0125,1.818,1.838,0.408,59.39,2.0
10,0.0004,0.0125,1.969,1.93,0.443,59.39,2.0
11,0.0004,0.0125,2.113,2.015,0.475,59.4,2.0
12,0.0005,0.0125,2.247,2.087,0.506,59.4,2.0
13,0.0005,0.0125,2.377,2.151,0.537,59.4,2.0
14,0.0005,0.0125,2.498,2.205,0.568,59.4,2.0
15,0.0005,0.0125,2.616,2.252,0.598,59.41,2.0
16,0.0005,0.0125,2.721,2.288,0.628,59.41,2.0
17,0.0005,0.0125,2.809,2.312,0.659,59.41,2.0
18,0.0005,0.0124,2.905,2.284,0.701,59.41,2.0
19,0.0004,0.0124,2.966,2.256,0.758,59.41,2.0
20,0.0004,0.0124,3.031,2.252,0.797,59.42,2.0
21,0.0004,0.0124,3.089,2.249,0.83,59.42,2.0
22,0.0004,0.0124,3.142,2.183,0.894,59.42,2.0
23,0.0003,0.0124,3.166,2.119,0.956,59.42,2.0
24,0.0007,0.0154,1.49,0.905,0.6,59.43,2.0
25,0.0013,0.024,1.344,0.795,0.59,59.45,2.0
26,0.0023,0.0351,1.569,0.904,0.695,59.43,2.0
27,0.0033,0.0471,1.759,0.997,0.779,59.41,2.0
28,0.0043,0.0594,1.851,1.049,0.82,59.39,2.0
29,0.0052,0.0717,1.885,1.07,0.835,59.37,2.0
30,0.0061,0.0842,1.893,1.075,0.838,59.36,2.0
31,0.0069,0.0966,1.891,1.075,0.837,59.34,2.0
32,0.0078,0.1057,2.865,1.51,1.36,59.34,2.0
33,0.0087,0.1093,2.52,1.41,1.109,59.34,2.0
34,0.0095,0.1105,2.17,1.247,0.938,59.33,2.0
35,0.0103,0.1109,2.008,1.168,0.864,59.32,2.0
36,0.0111,0.1111,1.942,1.133,0.831,59.31,2.0
37,0.0118,0.1111,1.915,1.119,0.817,59.29,2.0
38,0.0125,0.1111,1.903,1.114,0.809,59.28,2.0
39,0.0133,0.111,1.896,1.112,0.804,59.27,2.0
40,0.014,0.111,1.891,1.115,0.797,59.26,2.0
41,0.0146,0.111,1.886,1.115,0.792,59.25,2.0
42,0.0153,0.111,1.882,1.115,0.789,59.24,2.0
43,0.016,0.1109,1.878,1.114,0.785,59.22,2.0
44,0.0166,0.1109,1.875,1.114,0.782,59.21,2.0
