scene_key,candidate_id,scene_xml,selected_foundational_pose,feasible,feasibility_max_mean_tip_distance,feasibility_min_contacts,feasible_pose_count,foundational_pose_count,score,cube_lift,cube_tip_contacts,mean_tip_distance,cube_vel_norm,thumb_x,thumb_y,thumb_len,index_x,index_y,index_len,middle_x,middle_y,middle_len,chosen_ctrl_json
prism3,0,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_smoke2/prism3/generated_mjcf/scene_prism3_tp0d0000p0d0200p0d0000_ip0d0100n0d0123p0d0000_mp0d0100p0d0153p0d0000.xml,prism_y0d0350,True,0.03,1.0,1.0,1.0,1.4119735627568886,0.029577709430790584,1.0,0.011623133660389182,2.5360165897712692e-14,0.0,0.02,0.0,0.01,-0.0123,0.0,0.01,0.0153,0.0,"[0.082325279712677, 1.884436845779419, -0.7087383270263672, 0.031507909297943115, 1.2788469791412354, 0.9968161582946777, 0.1308315396308899, 1.2808868885040283, 0.9989619255065918]"
prism3,1,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_smoke2/prism3/generated_mjcf/scene_prism3_tp0d0033p0d0145p0d0000_in0d0016n0d0048p0d0099_mp0d0126p0d0208p0d0010.xml,prism_y0d0350,True,0.03,1.0,1.0,1.0,2.115217186403113,0.03830320569514466,2.0,0.010805467120663539,0.02522719123748542,0.0032870804957149027,0.014474881130332889,0.0,-0.001603336747315302,-0.004781514259193461,0.009906133854665322,0.012559258618412316,0.02080791746361596,0.0010469997951701483,"[0.082325279712677, 1.884436845779419, -0.7087383270263672, 0.031507909297943115, 1.2788469791412354, 0.9968161582946777, 0.1308315396308899, 1.2808868885040283, 0.9989619255065918]"
prism3,2,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_smoke2/prism3/generated_mjcf/scene_prism3_tp0d0104p0d0276p0d0000_ip0d0186n0d0235p0d0055_mp0d0022p0d0240p0d0010.xml,prism_y0d0350,True,0.03,1.0,1.0,1.0,2.2669975232134445,0.04925274519488143,2.0,0.015232831592242596,1.5092193028194703,0.010441738170906437,0.02758048529891677,0.0,0.018577702638101663,-0.023493946192668855,0.005511730714318659,0.002215734894461416,0.024016294136397276,0.0009950692859782007,"[0.082325279712677, 1.884436845779419, -0.7087383270263672, 0.031507909297943115, 1.2788469791412354, 0.9968161582946777, 0.1308315396308899, 1.2808868885040283, 0.9989619255065918]"
prism3,3,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_smoke2/prism3/generated_mjcf/scene_prism3_tn0d0048p0d0181p0d0000_ip0d0010n0d0082p0d0035_mp0d0128p0d0125p0d0119.xml,prism_y0d0350,True,0.03,1.0,1.0,1.0,1.4054545748800606,0.02955192418714557,1.0,0.014431385833057803,2.6124915097205344e-11,-0.004806914627102765,0.018144493308743802,0.0,0.0009827986359895336,-0.008205014047352873,0.003532548277782002,0.012769242675550093,0.012508261302285202,0.011933038458941066,"[0.082325279712677, 1.884436845779419, -0.7087383270263672, 0.031507909297943115, 1.2788469791412354, 0.9968161582946777, 0.1308315396308899, 1.2808868885040283, 0.9989619255065918]"
prism3,4,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_smoke2/prism3/generated_mjcf/scene_prism3_tp0d0115p0d0245p0d0036_ip0d0145n0d0150p0d0000_mp0d0153p0d0159p0d0000.xml,prism_y0d0350,True,0.03,1.0,1.0,1.0,2.77615981752709,0.04581110328163463,3.0,0.00972943942120025,0.05179945658481151,0.011540048130629522,0.024453007627536674,0.0036110226304275905,0.014522721533702562,-0.014965885824501509,0.0,0.01531572016465796,0.01590850373941742,0.0,"[0.082325279712677, 1.884436845779419, -0.7087383270263672, 0.031507909297943115, 1.2788469791412354, 0.9968161582946777, 0.1308315396308899, 1.2808868885040283, 0.9989619255065918]"
prism3,5,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_smoke2/prism3/generated_mjcf/scene_prism3_tn0d0003p0d0293p0d0104_ip0d0066n0d0106p0d0000_mp0d0123p0d0114p0d0000.xml,prism_y0d0350,True,0.03,1.0,1.0,1.0,1.200989482324396,0.023798907084927885,1.0,0.013703542240261957,0.030434541117040997,-0.00033995138803706235,0.02934770802437601,0.010417044382949991,0.006587084721017685,-0.010583284062485737,0.0,0.012263200724792723,0.011409869412171198,0.0,"[0.082325279712677, 1.884436845779419, -0.7087383270263672, 0.031507909297943115, 1.2788469791412354, 0.9968161582946777, 0.1308315396308899, 1.2808868885040283, 0.9989619255065918]"
prism3,6,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_smoke2/prism3/generated_mjcf/scene_prism3_tp0d0094p0d0135p0d0030_ip0d0000n0d0043p0d0069_mp0d0037p0d0243p0d0000.xml,prism_y0d0350,True,0.03,1.0,1.0,1.0,2.9215499709107284,0.04986462624237807,3.0,0.009515071111363427,0.031212035665183588,0.009366584448115015,0.013451782244801112,0.002956491472465019,1.6368245977236087e-05,-0.004316540456318454,0.0068903593797284,0.003744866631830852,0.02433562153945689,0.0,"[0.082325279712677, 1.884436845779419, -0.7087383270263672, 0.031507909297943115, 1.2788469791412354, 0.9968161582946777, 0.1308315396308899, 1.2808868885040283, 0.9989619255065918]"
prism3,7,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_smoke2/prism3/generated_mjcf/scene_prism3_tn0d0039p0d0116p0d0000_ip0d0171n0d0188p0d0000_mp0d0077p0d0081p0d0000.xml,prism_y0d0350,False,0.03,1.0,0.0,1.0,-0.03171840669566046,0.0,0.0,0.01585920334783013,1.3098435097742185e-15,-0.003933190546904152,0.011606707205476137,0.0,0.017111782486895065,-0.01876458698415006,0.0,0.007709244155716676,0.008064313068222126,0.0,"[0.082325279712677, 1.884436845779419, -0.7087383270263672, 0.031507909297943115, 1.2788469791412354, 0.9968161582946777, 0.1308315396308899, 1.2808868885040283, 0.9989619255065918]"
prism3,8,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_smoke2/prism3/generated_mjcf/scene_prism3_tp0d0019p0d0152p0d0041_ip0d0028n0d0017p0d0000_mp0d0005p0d0184p0d0103.xml,prism_y0d0350,True,0.03,1.0,1.0,1.0,1.4176083792339818,0.05068048351960717,3.0,0.009716627319618927,10.24516859542021,0.0019279772636844154,0.015168707187654142,0.004127877070952624,0.002788370655237119,-0.0016892853478440526,0.0,0.0005318867096855088,0.018398595636953022,0.010251709273628819,"[0.082325279712677, 1.884436845779419, -0.7087383270263672, 0.031507909297943115, 1.2788469791412354, 0.9968161582946777, 0.1308315396308899, 1.2808868885040283, 0.9989619255065918]"
prism3,9,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_smoke2/prism3/generated_mjcf/scene_prism3_tn0d0014p0d0300p0d0000_ip0d0082n0d0094p0d0119_mp0d0208p0d0143p0d0062.xml,prism_y0d0350,True,0.03,1.0,1.0,1.0,1.262538296191367,0.02563695788319695,1.0,0.017377614860223437,5.304936010288769e-13,-0.0014309482868211845,0.03,0.0,0.008205486996377813,-0.009414877151630932,0.011882316125647777,0.02077464819850637,0.014341083343418305,0.006185492287398994,"[0.082325279712677, 1.884436845779419, -0.7087383270263672, 0.031507909297943115, 1.2788469791412354, 0.9968161582946777, 0.1308315396308899, 1.2808868885040283, 0.9989619255065918]"
